Year,Raw_Milk,Eggs_Production,Pig_Carcasses,Cattle_Carcasses,Calves_Carcasses,Horses_Carcasses,Sheep_Carcasses,Goats_Carcasses,,
1955,"999,975 ","404,567","82,302","130,184","8,405","20,855",433,471,,
1956,"1,153,631 ","398,297","107,772","131,177","7,939","24,248",658,628,,
1957,"1,361,640 ","441,937","137,051","114,201","5,214","19,011","1,129","1,049",,
1958,"1,548,334 ","474,838","161,140","121,725","5,887","18,551","1,332",947,,
1959,"1,714,900 ","488,983","182,752","141,998","5,949","23,783","2,308","1,264",,
1960,"1,886,997 ","573,576","147,318","137,402","8,048","23,662","2,712","1,368",,
1961,"2,113,537 ","771,783","206,288","137,799","4,949","23,288","2,373","1,338",,
1962,"2,437,050 ","876,300","324,188","140,101","6,024","24,856","1,648","1,140",,
1963,"2,761,250 ","918,000","279,354","177,182","8,747","22,083","1,394","1,052",,
1964,"3,020,234 ","1,073,760","298,057","214,468","9,460","17,493",987,971,,
1965,"3,220,547 ","1,117,500","407,238","208,634","7,627","19,896",702,"1,316",,
1966,"3,408,814 ","1,063,465","564,556","149,547","4,659","13,091",464,"1,252",,
1967,"3,566,114 ","1,328,499","603,458","153,794","4,424","12,924",298,"1,486",,
1968,"4,015,938 ","1,414,966","589,578","170,550","5,221","15,363",299,793,,
1969,"4,508,625 ","1,606,925","587,658","226,733","9,656","12,140",254,829,,
1970,"4,761,469 ","1,733,669","734,294","269,492","8,518","10,697",154,814,,
1971,"4,819,834 ","1,801,319","843,244","289,749","6,424","10,388",78,620,,
1972,"4,938,793 ","1,794,076","885,306","313,442","4,003","7,058",48,574,,
1973,"4,908,359 ","1,800,186","970,520","244,194","1,575","4,556",24,484,,
1974,"4,868,172 ","1,798,553","1,097,923","315,449","5,621","4,282",22,364,,
1975,"4,961,017 ","1,787,845","1,039,642","349,036","3,843","5,283",27,216,,
1976,"5,262,419 ","1,859,418","1,056,229","295,380","2,501","6,133",25,117,,
1977,"5,734,988 ","1,882,774","1,169,465","357,838","3,337","6,048",35,128,,
1978,"6,116,615 ","1,965,416","1,284,473","400,756","2,584","4,969",32,106,,
1979,"6,462,822 ","1,990,924","1,429,928","399,604","2,064","4,308",33,77,,
1980,"6,504,457 ","2,001,582","1,475,005","415,837","2,225","3,741",41,76,,
1981,"6,610,232 ","1,999,542","1,395,843","468,294","2,423","3,917",49,68,,
1982,"6,747,406 ","2,057,420","1,427,626","478,705","2,257","4,652",74,77,,
1983,"7,042,314 ","2,085,641","1,428,824","492,624","2,314","5,191",99,83,,
1984,"7,137,519 ","2,129,948","1,424,204","533,611","2,449","5,520",114,104,,
1985,"7,380,369 ","2,152,356","1,531,914","552,959","2,297","5,418",143,118,,
1986,"7,456,940 ","2,230,968","1,551,651","556,735","1,885","5,757",174,127,,
1987,"7,334,943 ","2,375,845","1,582,014","563,308","1,575","5,002",212,124,,
1988,"7,606,774 ","2,400,061","1,578,938","568,430","1,373","4,252",205,140,,
1989,"8,058,946 ","2,421,387","1,593,918","546,819","1,139","4,645",220,141,,
1990,"8,189,348 ","2,419,081","1,555,226","548,358","1,120","4,737",249,146,,
1991,"8,259,134 ","2,498,299","1,482,776","574,017","1,143","4,907",236,160,,
1992,"8,576,442 ","2,571,443","1,434,148","590,447","1,236","5,330",242,218,,
1993,"8,625,699 ","2,597,684","1,439,613","593,312","1,054","6,314",241,248,,
1994,"8,388,917 ","2,569,400","1,390,288","601,327","1,014","7,619",238,220,,
1995,"8,382,162 ","2,550,586","1,322,065","600,099",806,"8,433",208,153,,
1996,"8,656,929 ","2,567,150","1,266,445","553,875",635,"7,423",183,116,,
1997,"8,645,455 ","2,566,119","1,283,316","529,699",601,"7,971",164,120,,
1998,"8,572,421 ","2,542,465","1,285,875","528,494",855,"7,830",155,121,,
1999,"8,459,694 ","2,535,655","1,277,094","539,499",878,"7,324",134,138,,
2000,"8,497,278 ","2,540,075","1,270,685","529,674",629,"7,215",112,155,,
2001,"8,300,488 ","2,526,782","1,241,737","458,034",583,"6,107",118,141,,
2002,"8,385,280 ","2,528,902","1,235,809","536,025",577,"7,049",113,96,,
2003,"8,400,073 ","2,529,128","1,260,045","495,001",978,"7,459",101,72,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,ホームページ,　　　　　 「畜産物流通統計」,,ホームページ,,,
